Year,Site,Transect ,Point,Date,pre-treatment,Date,post-2 treatments
2015,VA,A ,1,23/05/2015,0,19/06/2015,0
2015,VA,A ,2,23/05/2015,1,19/06/2015,0
2015,VA,A ,3,23/05/2015,0,19/06/2015,0
2015,VA,A ,4,23/05/2015,1,19/06/2015,0
2015,VA,A ,5,23/05/2015,0,19/06/2015,0
2015,VA,A ,6,23/05/2015,0,19/06/2015,0
2015,VA,A ,7,23/05/2015,0,19/06/2015,0
2015,VA,A ,8,23/05/2015,1,19/06/2015,0
2015,VA,B,1,23/05/2015,1,19/06/2015,0
2015,VA,B,2,23/05/2015,1,19/06/2015,0
2015,VA,B,3,23/05/2015,1,19/06/2015,1
2015,VA,B,4,23/05/2015,0,19/06/2015,0
2015,VA,B,5,23/05/2015,0,19/06/2015,0
2015,VA,B,6,23/05/2015,1,19/06/2015,0
2015,VA,B,7,23/05/2015,0,19/06/2015,0
2015,VA,B,8,23/05/2015,0,19/06/2015,0
2015,VA,C,1,23/05/2015,n/a,19/06/2015,0
2015,VA,C,2,23/05/2015,0,19/06/2015,0
2015,VA,C,3,23/05/2015,0,19/06/2015,0
2015,VA,C,4,23/05/2015,0,19/06/2015,0
2015,VA,C,5,23/05/2015,0,19/06/2015,0
2015,VA,C,6,23/05/2015,0,19/06/2015,0
2015,VA,C,7,23/05/2015,0,19/06/2015,0
2015,VA,C,8,23/05/2015,0,19/06/2015,0
2015,VA,E,1,24/05/2015,0,20/06/2015,0
2015,VA,E,2,24/05/2015,0,20/06/2015,0
2015,VA,E,3,24/05/2015,0,20/06/2015,0
2015,VA,E,4,24/05/2015,0,20/06/2015,0
2015,VA,E,5,24/05/2015,0,20/06/2015,0
2015,VA,E,6,24/05/2015,0,20/06/2015,0
2015,VA,E,7,24/05/2015,0,20/06/2015,0
2015,VA,E,8,24/05/2015,0,20/06/2015,0
2015,VA,F,1,23/05/2015,0,21/06/2015,0
2015,VA,F,2,23/05/2015,1,21/06/2015,0
2015,VA,F,3,23/05/2015,1,21/06/2015,0
2015,VA,F,4,23/05/2015,0,21/06/2015,0
2015,VA,F,5,23/05/2015,1,21/06/2015,0
2015,VA,F,6,23/05/2015,0,21/06/2015,0
2015,VA,F,7,23/05/2015,0,21/06/2015,0
2015,VA,F,8,23/05/2015,0,21/06/2015,0
2015,VA,G,1,23/05/2015,,19/06/2015,0
2015,VA,G,2,23/05/2015,0,19/06/2015,0
2015,VA,G,3,23/05/2015,1,19/06/2015,0
2015,VA,G,4,23/05/2015,0,19/06/2015,0
2015,VA,G,5,23/05/2015,1,19/06/2015,0
2015,VA,G,6,23/05/2015,0,19/06/2015,0
2015,VA,G,7,23/05/2015,0,19/06/2015,0
2015,VA,G,8,23/05/2015,n/a,19/06/2015,0
2015,VA,H,1,27/05/2015,1,19/06/2015,0
2015,VA,H,2,27/05/2015,0,19/06/2015,0
2015,VA,H,3,27/05/2015,0,19/06/2015,0
2015,VA,H,4,27/05/2015,0,19/06/2015,0
2015,VA,H,5,27/05/2015,0,19/06/2015,0
2015,VA,H,6,27/05/2015,0,19/06/2015,0
2015,VA,H,7,27/05/2015,0,19/06/2015,0
2015,VA,H,8,27/05/2015,1,19/06/2015,0
2015,VA,I,1,27/05/2015,1,21/06/2015,0
2015,VA,I,2,27/05/2015,1,21/06/2015,0
2015,VA,I,3,27/05/2015,0,21/06/2015,n/a
2015,VA,I,4,27/05/2015,1,21/06/2015,0
2015,VA,I,5,27/05/2015,0,21/06/2015,0
2015,VA,I,6,27/05/2015,1,21/06/2015,0
2015,VA,I,7,27/05/2015,0,21/06/2015,0
2015,VA,I,8,27/05/2015,0,21/06/2015,0
2015,VA,J,1,24/05/2015,0,20/06/2015,0
2015,VA,J,2,24/05/2015,0,20/06/2015,0
2015,VA,J,3,24/05/2015,0,20/06/2015,0
2015,VA,J,4,24/05/2015,1,20/06/2015,0
2015,VA,J,5,24/05/2015,0,20/06/2015,0
2015,VA,J,6,24/05/2015,0,20/06/2015,0
2015,VA,J,7,24/05/2015,0,20/06/2015,0
2015,VA,J,8,24/05/2015,0,20/06/2015,0
2015,VA,D,1,24/05/2015,1,21/06/2015,0
2015,VA,D,2,24/05/2015,1,22/06/2015,0
2015,VA,D,3,24/05/2015,0,23/06/2015,0
2015,VA,D,4,24/05/2015,1,24/06/2015,0
2015,VA,D,5,24/05/2015,1,25/06/2015,0
2015,VA,D,6,24/05/2015,1,26/06/2015,0
2015,VA,D,7,24/05/2015,1,27/06/2015,0
2015,VA,D,8,24/05/2015,0,28/06/2015,0
